Features_Used,Test_Accuracy
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | lexical_density | content_unique_ratio | function_word_adjacency,0.7485410830999066
burstiness | dependency_tree_depth | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7485119047619048
dependency_tree_depth | verb_gap_deviation | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7483660130718954
burstiness | hapax_legomena_ratio | verb_gap_deviation | stopword_gradient | function_word_adjacency,0.7483368347338936
burstiness | clause_density | lexical_density | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7482784780578898
sentence_length_deviation | dependency_tree_depth | clause_density | verb_gap_deviation | lexical_density,0.7477240896358543
dependency_tree_depth | clause_density | verb_gap_deviation | stopword_gradient | subject_verb_distance | function_word_adjacency,0.7474031279178338
sentence_length_deviation | dependency_tree_depth | hapax_legomena_ratio | clause_density | verb_gap_deviation | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7474031279178338
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | content_unique_ratio | function_word_adjacency,0.7473739495798319
sentence_length_deviation | hapax_legomena_ratio | clause_density | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7471988795518207
sentence_length_deviation | hapax_legomena_ratio | stopword_gradient | content_unique_ratio | function_word_adjacency,0.747140522875817
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7465277777777778
sentence_length_deviation | hapax_legomena_ratio | lexical_density | stopword_gradient | content_unique_ratio | function_word_adjacency,0.7465277777777778
sentence_length_deviation | hapax_legomena_ratio | verb_gap_deviation | function_word_adjacency,0.7462943510737629
burstiness | hapax_legomena_ratio | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7460901027077498
sentence_length_deviation | hapax_legomena_ratio | clause_density | verb_gap_deviation | lexical_density | stopword_gradient | function_word_adjacency,0.7460609243697479
sentence_length_deviation | dependency_tree_depth | clause_density | subject_verb_distance,0.7459733893557423
